18650.00 0.0001
18700.00 0.0001
18750.00 0.0003
18800.00 0.0007
18850.00 0.0014
18900.00 0.0027
18950.00 0.0050
19000.00 0.0089
19050.00 0.0151
19100.00 0.0248
19150.00 0.0389
19200.00 0.0586
19250.00 0.0849
19300.00 0.1183
19350.00 0.1586
19400.00 0.2052
19450.00 0.2566
19500.00 0.3105
19550.00 0.3644
19600.00 0.4155
19650.00 0.4619
19700.00 0.5023
19750.00 0.5353
19800.00 0.5613
19850.00 0.5807
19900.00 0.5946
19950.00 0.6040
20000.00 0.6104
20050.00 0.6141
20100.00 0.6163
20150.00 0.6175
20200.00 0.6182
20250.00 0.6185
20300.00 0.6187
20350.00 0.6192
20400.00 0.6193
20450.00 0.6195
20500.00 0.6196
20550.00 0.6201
20600.00 0.6202
20650.00 0.6208
20700.00 0.6210
20750.00 0.6212
20800.00 0.6218
20850.00 0.6221
20900.00 0.6225
20950.00 0.6228
21000.00 0.6232
21050.00 0.6238
21100.00 0.6244
21150.00 0.6251
21200.00 0.6259
21250.00 0.6262
21300.00 0.6271
21350.00 0.6276
21400.00 0.6281
21450.00 0.6288
21500.00 0.6291
21550.00 0.6292
21600.00 0.6293
21650.00 0.6294
21700.00 0.6294
21750.00 0.6292
21800.00 0.6290
21850.00 0.6287
21900.00 0.6283
21950.00 0.6283
22000.00 0.6281
22050.00 0.6279
22100.00 0.6273
22150.00 0.6263
22200.00 0.6255
22250.00 0.6239
22300.00 0.6221
22350.00 0.6195
22400.00 0.6161
22450.00 0.6110
22500.00 0.6037
22550.00 0.5941
22600.00 0.5803
22650.00 0.5627
22700.00 0.5403
22750.00 0.5127
22800.00 0.4800
22850.00 0.4424
22900.00 0.4008
22950.00 0.3561
23000.00 0.3101
23050.00 0.2638
23100.00 0.2195
23150.00 0.1781
23200.00 0.1407
23250.00 0.1083
23300.00 0.0811
23350.00 0.0590
23400.00 0.0417
23450.00 0.0286
23500.00 0.0190
23550.00 0.0123
23600.00 0.0077
23650.00 0.0046
23700.00 0.0027
23750.00 0.0015
23800.00 0.0009
23850.00 0.0005
23900.00 0.0002
23950.00 0.0001
